sigla,sheet,desc_v2,desc_v6,termos_novos,freq,origem,benchmark_impact
VCC2,AnalogSignals,TENSAO CORRENTE CONTINUA 2,"TENSAO CORRENTE CONTINUA 2 — SWITCH, ATUADA, DIGITAL, HABILITADA, PERDAS, REGULACAO, SECUNDARIO, SISTEMA, TDD, TR2_AT, TRANSFENCA","SWITCH, ATUADA, DIGITAL, HABILITADA, PERDAS, REGULACAO, SECUNDARIO, SISTEMA, TDD, TR2_AT, TRANSFENCA",4;3;2;2;2;2;2;2;1;1;1,decidido,
VIN,AnalogSignals,TENSAO DE ENTRADA,"TENSAO DE ENTRADA — INDEFINIDO, TSA1, TSA2","INDEFINIDO, TSA1, TSA2",2;2;2,decidido,
VA,AnalogSignals,TENSAO FASE A,"TENSAO FASE A — ATUADO, ATUAL, INDICACAO","ATUADO, ATUAL, INDICACAO",48;4;4,decidido,
VA,AnalogSignals,TENSAO FASE A,"TENSAO FASE A — ATUADO, ATUAL, INDICACAO","ATUADO, ATUAL, INDICACAO",48;4;4,decidido,
VB,AnalogSignals,TENSAO FASE B,TENSAO FASE B — T,T,2,decidido,
VB,AnalogSignals,TENSAO FASE B,TENSAO FASE B — T,T,2,decidido,
VAB,AnalogSignals,TENSAO FASE AB,"TENSAO FASE AB — P, BOB, CMD, DESCARREGADA, FVCC","P, BOB, CMD, DESCARREGADA, FVCC",19;6;6;6;6,decidido,
VAB,AnalogSignals,TENSAO FASE AB,"TENSAO FASE AB — P, BOB, CMD, DESCARREGADA, FVCC","P, BOB, CMD, DESCARREGADA, FVCC",19;6;6;6;6,decidido,
VBC,AnalogSignals,TENSAO FASE BC,TENSAO FASE BC — P,P,12,decidido,
VBC,AnalogSignals,TENSAO FASE BC,TENSAO FASE BC — P,P,12,decidido,
VCA,AnalogSignals,TENSAO FASE CA,"TENSAO FASE CA — P, ANORMAL, INCLUIDO, INDEFINIDO, ANALISE, DIGITAL, SECUNDARIO, SISTEMA, SITEMA, TSA1, TSA2","P, ANORMAL, INCLUIDO, INDEFINIDO, ANALISE, DIGITAL, SECUNDARIO, SISTEMA, SITEMA, TSA1, TSA2",12;4;4;2;1;1;1;1;1;1;1,decidido,
VCA,AnalogSignals,TENSAO FASE CA,"TENSAO FASE CA — P, ANORMAL, INCLUIDO, INDEFINIDO, ANALISE, DIGITAL, SECUNDARIO, SISTEMA, SITEMA, TSA1, TSA2","P, ANORMAL, INCLUIDO, INDEFINIDO, ANALISE, DIGITAL, SECUNDARIO, SISTEMA, SITEMA, TSA1, TSA2",12;4;4;2;1;1;1;1;1;1;1,decidido,
VA_L,AnalogSignals,TENSAO LINHA FASE A,"TENSAO LINHA FASE A — INTERMEDIARIO, MCB, TRF, INDEFINIDA","INTERMEDIARIO, MCB, TRF, INDEFINIDA",4;4;4;2,decidido,
UMID,AnalogSignals,UMIDADE,"UMIDADE — 81U, ATUADA, SUBFREQUENCIA","81U, ATUADA, SUBFREQUENCIA",4;4;4,decidido,
ADIF,AnalogSignals,25 - DIFERENCA ANGULO,"25 - DIFERENCA ANGULO — INTERPOSICAO, ISOLADORAS, SECCIONADORAS, ATUADO, DESCARREGADA, SOTF","INTERPOSICAO, ISOLADORAS, SECCIONADORAS, ATUADO, DESCARREGADA, SOTF",6;6;6;3;3;3,decidido,
VDIF,AnalogSignals,25 - DIFERENCA TENSAO,"25 - DIFERENCA TENSAO — TDD, TRANSFENCA, GTD_24, GTD_11, GTD_12, GTD_13, GTD_14, GTD_15, GTD_21, GTD_22, GTD_23, GTD_25, LT_TRF3, TR1_MT, 50EF, END, FAULT, LT_GTA, LT_KGC, TR1_AT, TRF1","TDD, TRANSFENCA, GTD_24, GTD_11, GTD_12, GTD_13, GTD_14, GTD_15, GTD_21, GTD_22, GTD_23, GTD_25, LT_TRF3, TR1_MT, 50EF, END, FAULT, LT_GTA, LT_KGC, TR1_AT, TRF1",32;32;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,decidido,
FDIF,AnalogSignals,25 - DIFERENCA FREQUENCIA,"25 - DIFERENCA FREQUENCIA — 50EF, END, FAULT","50EF, END, FAULT",1;1;1,decidido,
